field_1,City..Vill,Latitude..,Longitude.,week_1_fire_season_Week_High,week_1_fire_season_Week_Number
"1",Metro Van - New Westminster,"49.227045","-122.894487","6.91666666666667","1"
"2",Metro Van - Burnaby,"49.279214","-122.970707","6.25","1"
"3",Metro Van - Port Moody,"49.280893","-122.849291","4.5","1"
"4",Metro Van - North Vancouver,"49.301472","-123.020417","7.5","1"
"5",Metro Van - Delta,"49.158348","-122.90173","6.41666666666667","1"
"6",Metro Van - Surrey,"49.132928","-122.694224","5.41666666666667","1"
"7",Metro Van - Richmond,"49.141437","-123.108215","7.41666666666667","1"
"8",Metro Van - West Vancouver,"49.36861","-123.276741","4.75","1"
"9",Metro Van - Vancouver,"49.260267","-123.077776","7.75","1"
"10",Agassiz,"49.238008","-121.762264","9.66666666666667","1"
"11",Prince George,"53.91472","-122.74194","26.4166666666667","1"
"12",Kamloops,"50.67477","-120.334016","8.41666666666667","1"
"13",Kelowna,"49.862336","-119.477367","4.91666666666667","1"
"14",Metro Van - Abbotsford,"49.04258","-122.30982","6.5","1"
"15",Metro Van-Chilliwack,"49.155848","-121.940279","5.91666666666667","1"
"16",Metro Van-Pitt Meadows,"49.245233","-122.70889","6.75","1"
"17",Metro Van-Langley,"49.09561","-122.567104","12.4166666666667","1"
"18",Metro Van-Hope,"49.369887","-121.49912","5.83333333333333","1"
"19",Quesnel,"52.981686","-122.493227","12","1"
"20",Smithers,"54.783308","-127.177324","9.91666666666667","1"
"21",Terrace,"54.52167","-128.6075","5.33333333333333","1"
"22",Williams Lake,"52.14428","-122.150391","8.41666666666667","1"
"23",Golden,"51.29749722","-116.9668528","9.83333333333333","1"
"24",Castlegar,"49.317698","-117.661527","6.5","1"
"25",Mission,"49.14149","-122.311078","5.75","1"
"26",Vernon,"50.260617","-119.270723","10.3333333333333","1"
"27",Grand Forks,"49.031168","-118.439088","12.4166666666667","1"
"28",Houston,"54.398594","-126.646833",,
"29",Burns Lake,"54.230731","-125.764354","18.5","1"
"30",Fort St. John,"56.24473","-120.8561","4.16666666666667","1"
"31",Valemount,"52.832459","-119.269821",,
"32",Victoria,"48.441942","-123.363165","10.4166666666667","1"
"33",Squamish,"49.70516","-123.15133","6.58333333333333","1"
"34",Nanaimo,"49.20083","-123.99389","10.5833333333333","1"
"35",Port Alberni,"49.261014","-124.806628","13.8333333333333","1"
"36",Campbell River,"50.018425","-125.24844","8.08333333333333","1"
"37",Kitimat,"54.05389","-128.671436","6.08333333333333","1"
"38",Duncan,"48.80255","-123.646402","6.41666666666667","1"
"39",Whistler,"50.144285","-122.960402","7.08333333333333","1"
"40",Langdale,"49.438848","-123.479185","9.33333333333333","1"
"41",Crofton,"48.874529","-123.653929","9","1"
"42",Vanderhoof,"54.016516","-124.005856","12.9166666666667","1"
"43",Courtenay,"49.682603","-124.996222","6.83333333333333","1"
"44",Powell River,"49.886894","-124.558104","2.83333333333333","1"
